Code	Name	On Sea	Type	Can Wait
616	YAQC	0	OTHER	1
617	YFADK	0	OTHER	1
618	YFQ1	0	OTHER	1
619	YFQ2	0	OTHER	1
620	YFQ3	0	OTHER	1
621	YFQ4	0	OTHER	1
622	YFQ5	0	OTHER	1
623	YFQ6	0	OTHER	1
624	YFQ7	0	OTHER	1
625	YFQ8	0	OTHER	1
626	YHDK1	0	OTHER	1
627	YHDK2	0	OTHER	1
628	YHL	0	OTHER	1
629	YHQ1	0	OTHER	1
630	YHQ2	0	OTHER	1
631	YHQ3	0	OTHER	1
632	YHQ4	0	OTHER	1
633	YJDK1	0	OTHER	1
634	YJDK2	0	OTHER	1
635	YJDK3	0	OTHER	1
636	YJEQ	0	OTHER	1
637	YJNSD	0	OTHER	1
638	YJSQ	0	OTHER	1
639	YJTKE	0	OTHER	1
640	YJTKN	0	OTHER	1
641	YJTKS	0	OTHER	1
642	YJTKW	0	OTHER	1
643	YJWQ	0	OTHER	1
644	YPD1E	0	OTHER	1
645	YPD1W	0	OTHER	1
646	YPD2E	0	OTHER	1
647	YPD3W	0	OTHER	1
648	YPFD1	0	OTHER	1
649	YPFD2	0	OTHER	1
650	YPFD3	0	OTHER	1
651	YPFPE	0	OTHER	1
652	YPFPW	0	OTHER	1
653	YSFD1	0	OTHER	1
654	YSFD2	0	OTHER	1
655	YSFD3	0	OTHER	1
656	YSFD4	0	OTHER	1
657	YSNQ1	0	OTHER	1
658	YSNQ2	0	OTHER	1
659	YSNQ3	0	OTHER	1
660	YSSQ	0	OTHER	1
661	YSWQ	0	OTHER	1
662	YTDK3	0	OTHER	1
663	YTDP1	0	OTHER	1
664	YTDP2	0	OTHER	1
665	YTFPE	0	OTHER	1
666	YTFPW	0	OTHER	1
667	YTRDE	0	OTHER	1
668	YTRDK	0	OTHER	1
669	YTRPE	0	OTHER	1
670	YTRPW	0	OTHER	1
671	YTSQ	0	OTHER	1
672	YTTDK	0	OTHER	1
673	YTTPE	0	OTHER	1
674	YTWQ	0	OTHER	1
